abbrev,Date Time,DISCHRG Value,DISCHRG Units,DISCHRG Review Status,DISCHRG Observation Flag,DISCHRG Modified
COLCAMCO,07/13/2001 00:00,3060,cfs,,,09/25/2018 15:15
COLCAMCO,07/14/2001 00:00,3180,cfs,,,09/25/2018 15:15
COLCAMCO,07/15/2001 00:00,3420,cfs,,,09/25/2018 15:15
COLCAMCO,07/16/2001 00:00,3620,cfs,,,09/25/2018 15:15
COLCAMCO,07/17/2001 00:00,3480,cfs,,,09/25/2018 15:15
COLCAMCO,07/18/2001 00:00,3120,cfs,,,09/25/2018 15:15
COLCAMCO,07/19/2001 00:00,2600,cfs,,,09/25/2018 15:15
COLCAMCO,07/20/2001 00:00,2580,cfs,,,09/25/2018 15:15
COLCAMCO,07/21/2001 00:00,2490,cfs,,,09/25/2018 15:15
COLCAMCO,07/22/2001 00:00,2400,cfs,,,09/25/2018 15:15
COLCAMCO,07/23/2001 00:00,2290,cfs,,,09/25/2018 15:15
COLCAMCO,07/24/2001 00:00,2190,cfs,,,09/25/2018 15:15
COLCAMCO,07/25/2001 00:00,2190,cfs,,,09/25/2018 15:15
COLCAMCO,07/26/2001 00:00,2370,cfs,,,09/25/2018 15:15
COLCAMCO,07/27/2001 00:00,2470,cfs,,,09/25/2018 15:15
COLCAMCO,07/28/2001 00:00,2540,cfs,,,09/25/2018 15:15
COLCAMCO,07/29/2001 00:00,2450,cfs,,,09/25/2018 15:15
COLCAMCO,07/30/2001 00:00,2360,cfs,,,09/25/2018 15:15
COLCAMCO,07/31/2001 00:00,2290,cfs,,,09/25/2018 15:15
COLCAMCO,08/01/2001 00:00,2390,cfs,,,09/25/2018 15:15
COLCAMCO,08/02/2001 00:00,2620,cfs,,,09/25/2018 15:15
COLCAMCO,08/03/2001 00:00,2790,cfs,,,09/25/2018 15:15
COLCAMCO,08/04/2001 00:00,2820,cfs,,,09/25/2018 15:15
COLCAMCO,08/05/2001 00:00,2880,cfs,,,09/25/2018 15:15
COLCAMCO,08/06/2001 00:00,2720,cfs,,,09/25/2018 15:15
COLCAMCO,08/07/2001 00:00,2930,cfs,,,09/25/2018 15:15
COLCAMCO,08/08/2001 00:00,3180,cfs,,,09/25/2018 15:15
COLCAMCO,08/09/2001 00:00,3080,cfs,,,09/25/2018 15:15
COLCAMCO,08/10/2001 00:00,3080,cfs,,,09/25/2018 15:15
COLCAMCO,08/11/2001 00:00,2630,cfs,,,09/25/2018 15:15
COLCAMCO,08/12/2001 00:00,2570,cfs,,,09/25/2018 15:15
COLCAMCO,08/13/2001 00:00,2420,cfs,,,09/25/2018 15:15
COLCAMCO,08/14/2001 00:00,2440,cfs,,,09/25/2018 15:15
COLCAMCO,08/15/2001 00:00,2650,cfs,,,09/25/2018 15:15
COLCAMCO,08/16/2001 00:00,2890,cfs,,,09/25/2018 15:15
COLCAMCO,08/17/2001 00:00,2730,cfs,,,09/25/2018 15:15
COLCAMCO,08/18/2001 00:00,2670,cfs,,,09/25/2018 15:15
COLCAMCO,08/19/2001 00:00,2560,cfs,,,09/25/2018 15:15
COLCAMCO,08/20/2001 00:00,2460,cfs,,,09/25/2018 15:15
COLCAMCO,08/21/2001 00:00,2510,cfs,,,09/25/2018 15:15
COLCAMCO,08/22/2001 00:00,2720,cfs,,,09/25/2018 15:15
COLCAMCO,08/23/2001 00:00,2900,cfs,,,09/25/2018 15:15
COLCAMCO,08/24/2001 00:00,2780,cfs,,,09/25/2018 15:15
COLCAMCO,08/25/2001 00:00,2710,cfs,,,09/25/2018 15:15
COLCAMCO,08/26/2001 00:00,2630,cfs,,,09/25/2018 15:15
COLCAMCO,08/27/2001 00:00,2560,cfs,,,09/25/2018 15:15
COLCAMCO,08/28/2001 00:00,2490,cfs,,,09/25/2018 15:15
COLCAMCO,08/29/2001 00:00,2520,cfs,,,09/25/2018 15:15
COLCAMCO,08/30/2001 00:00,2570,cfs,,,09/25/2018 15:15
COLCAMCO,08/31/2001 00:00,2720,cfs,,,09/25/2018 15:15
COLCAMCO,09/01/2001 00:00,2850,cfs,,,09/25/2018 15:15
COLCAMCO,09/02/2001 00:00,2890,cfs,,,09/25/2018 15:15
